ref_id	ref_name	ref_description	ref_path	ref_ncbi_accession	ref_ncbi_query	ref_ncbi_query_max	ref_primary_usage	ref_contextual_usage	ref_color_by
GCF_005341425_1	Limosilactobacillus fermentum	Limosilactobacillus fermentum (GCF_005341425.1; T; RS)		GCF_005341425.1			optional	optional	
GCF_024029675_1	Fructilactobacillus carniphilus	Fructilactobacillus carniphilus (GCF_024029675.1; T; RS)		GCF_024029675.1			optional	optional	
GCF_024029435_1	Fructilactobacillus hinvesii	Fructilactobacillus hinvesii (GCF_024029435.1; T; RS)		GCF_024029435.1			optional	optional	
GCF_024029355_1	Fructilactobacillus cliffordii	Fructilactobacillus cliffordii (GCF_024029355.1; T; RS)		GCF_024029355.1			optional	optional	
GCF_003641185_1	Lactiplantibacillus pentosus	Lactiplantibacillus pentosus (GCF_003641185.1; T; RS)		GCF_003641185.1			optional	optional	
GCF_947539765_1	Lactiplantibacillus carotarum	Lactiplantibacillus carotarum (GCF_947539765.1; T; RS)		GCF_947539765.1			optional	optional	
GCF_014131735_1	Lactiplantibacillus plantarum	Lactiplantibacillus plantarum (GCF_014131735.1; T; RS)		GCF_014131735.1			optional	optional	
GCF_018987235_1	Lactobacillus crispatus	Lactobacillus crispatus (GCF_018987235.1; T; RS)		GCF_018987235.1			optional	optional	
GCF_002706375_1	Lactobacillus amylovorus DSM 20531	Lactobacillus amylovorus (GCF_002706375.1; T; RS)		GCF_002706375.1			optional	optional	
GCF_002278095_1	Lactobacillus delbrueckii subsp. lactis DSM 20072	Lactobacillus delbrueckii (GCF_002278095.1; T; RS)		GCF_002278095.1			optional	optional	
GCF_018314255_1	Lentilactobacillus buchneri	Lentilactobacillus buchneri (GCF_018314255.1; T; RS)		GCF_018314255.1			optional	optional	
GCF_000785105_2	Lentilactobacillus curieae	Lentilactobacillus curieae (GCF_000785105.2; T; RS)		GCF_000785105.2			optional	optional	
GCF_026913205_2	Lentilactobacillus terminaliae	Lentilactobacillus terminaliae (GCF_026913205.2; T; RS)		GCF_026913205.2			optional	optional	
GCF_000010005_1	Limosilactobacillus reuteri subsp. reuteri JCM 1112	Limosilactobacillus reuteri (GCF_000010005.1; T; RS)		GCF_000010005.1			optional	optional	
GCF_043386705_1	Limosilactobacillus mucosae	Limosilactobacillus mucosae (GCF_043386705.1; T; RS)		GCF_043386705.1			optional	optional	
GCF_001437055_1	Limosilactobacillus secaliphilus	Limosilactobacillus secaliphilus (GCF_001437055.1; T; RS)		GCF_001437055.1			optional	optional	
GCF_024298965_1	Streptomyces rapamycinicus NRRL 5491	Streptomyces rapamycinicus (GCF_024298965.1; T; RS)		GCF_024298965.1			optional	optional	
GCF_042466515_1	Streptomyces iranensis	Streptomyces iranensis (GCF_042466515.1; T; RS)		GCF_042466515.1			optional	optional	
GCF_015689475_1	Streptomyces solisilvae	Streptomyces solisilvae (GCF_015689475.1; T; RS)		GCF_015689475.1			optional	optional	
GCF_030770295_1	Lacticaseibacillus styriensis	Lacticaseibacillus styriensis (GCF_030770295.1; T; RS)		GCF_030770295.1			optional	optional	
GCF_004358325_1	Periweissella cryptocerci	Periweissella cryptocerci (GCF_004358325.1; T; RS)		GCF_004358325.1			optional	optional	
GCF_002706705_1	Loigolactobacillus coryniformis subsp. torquens DSM 20004 = KCTC 3535	Loigolactobacillus coryniformis (GCF_002706705.1; T; RS)		GCF_002706705.1			optional	optional	
GCF_027627435_1	Kitasatospora cathayae	Kitasatospora cathayae (GCF_027627435.1; T; RS)		GCF_027627435.1			optional	optional	
GCF_016756395_1	Actinacidiphila reveromycinica	Actinacidiphila reveromycinica (GCF_016756395.1; T; RS)		GCF_016756395.1			optional	optional	
GCF_003258605_2	Peterkaempfera bronchialis	Peterkaempfera bronchialis (GCF_003258605.2; T; RS)		GCF_003258605.2			optional	optional	
