
Query: SRR18850310_1.fastq.gz	DB: RefSeq	SketchLen: 17420	Seqs: 31253 	Bases: 7844503	gSize: 1442835	GC: 0.501	Quality: 0.9404	AvgCount: 4.165	Depth: 4.104	File: SRR18850310_1.fastq.gz
WKID	KID	ANI	SSU	SSULen	Complt	Contam	Contam2	uContam	Score	E-Val	Depth	Depth2	Volume	RefHits	Matches	Unique	Unique2	Unique3	noHit	Length	TaxID	ImgID    	gBases	gKmers	gSize	gSeqs	GC	rDiv	qDiv	rSize	qSize	cHits	taxName	file	seqName	taxonomy
64.20%	58.43%	98.62%	.	0	93.09%	15.29%	1.00%	2.24%	8546	0.00e+00	3.711	3.341	38.63	10.77	10178	431	1527	2556	763	17420	1318629	-1	1815647	1791727	1684173	250	0.526	15853	17420	15853	17420	2663	Limosilactobacillus fermentum Lf1	.	tid|1318629|NZ_AWXS01000012.1 Lactobacillus fermentum Lf1 Contig12, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Limosilactobacillus;s:Limosilactobacillus fermentum
58.03%	55.09%	98.45%	.	0	91.13%	13.48%	11.27%	1.98%	7426	0.00e+00	3.504	3.493	34.59	11.54	9597	9	10	15	549	17420	1581062	-1	1914489	1909498	1909498	110	0.524	16538	17420	16538	17420	2349	Lactobacillus sp. HMSC24D01	.	tid|1581062|NZ_KV789671.1 Lactobacillus sp. HMSC24D01 Scaffold104, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Lactobacillus;s:Lactobacillus sp. HMSC24D01
1.64%	1.48%	86.29%	.	0	30.77%	72.31%	1.03%	4.72%	121.4	0.00e+00	4.384	4.295	1.139	31.60	257	7	40	2556	1187	17420	1450649	-1	1641621	1639602	1613889	63	0.481	15678	17420	15678	17420	12596	Limosilactobacillus gorillae	.	tid|1450649|NZ_BCAH01000009.1 Lactobacillus gorillae strain KZ01, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Limosilactobacillus;s:Limosilactobacillus gorillae
1.43%	1.09%	86.57%	.	0	49.11%	35.45%	34.98%	1.17%	102.8	0.00e+00	15.12	11.12	3.765	42.48	249	0	0	0	194	22898	152331	-1	61207K	61144K	5033115	1779	0.434	22898	17420	22898	17420	6175	Lentilactobacillus parabuchneri	.	tid|152331|NZ_LXIA01000001.1 Lactobacillus parabuchneri strain IPLA 11122 NODE_10, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Lentilactobacillus;s:Lentilactobacillus parabuchneri
0.95%	0.94%	84.93%	.	0	36.50%	64.13%	0.90%	1.83%	100.1	0.00e+00	13.74	13.07	2.240	40.85	163	2	11	2556	489	17420	908339	-1	2115990	2113231	2088063	89	0.498	17122	17420	17122	17420	11171	Limosilactobacillus oris PB013-T2-3	.	tid|908339|NZ_AEKL01000069.1 Lactobacillus oris PB013-T2-3 contig00058, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Limosilactobacillus;s:Limosilactobacillus oris
0.66%	0.66%	83.95%	.	0	39.53%	60.37%	0.86%	1.75%	83.37	0.00e+00	16.17	15.11	1.859	50.61	115	5	8	2556	440	17461	1633	-1	3774584	3770740	2262622	124	0.406	17461	17420	17461	17420	10517	Limosilactobacillus vaginalis	.	tid|1633|NZ_CP045240.1 Lactobacillus vaginalis strain LV515 chromosome, complete genome	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Limosilactobacillus;s:Limosilactobacillus vaginalis
0.65%	0.61%	83.59%	.	0	31.95%	70%	0.98%	2.42%	65.20	0.00e+00	10.52	10.47	1.115	63.72	106	0	2	2556	607	17420	1423749	-1	1848461	1845537	1831651	66	0.416	16356	17420	16356	17420	12194	Limosilactobacillus gastricus DSM 16045	.	tid|1423749|NZ_AZFN01000062.1 Lactobacillus gastricus DSM 16045 Scaffold62, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Limosilactobacillus;s:Limosilactobacillus gastricus
0.86%	0.49%	85.32%	.	0	45.24%	20.38%	20.13%	0.72%	64.98	0.00e+00	9.053	3.836	1.358	47.69	150	1	1	13	64	30655	47715	-1	398845K	398236K	11776K	15778	0.467	30655	17420	30655	17420	3551	Lacticaseibacillus rhamnosus	.	tid|47715|NZ_MAGA01000001.1 Lactobacillus rhamnosus strain HCT70 IonXpress_017_rawlib.basecaller_c1, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Lacticaseibacillus;s:Lacticaseibacillus rhamnosus
0.42%	0.42%	82.51%	.	0	38.28%	61.65%	0.88%	1.80%	59.20	0.00e+00	15.80	7.849	1.169	72.49	74	0	1	2556	450	17451	525309	-1	4544733	4478913	2224769	112	0.511	17451	17420	17451	17420	10739	Limosilactobacillus antri DSM 16041	.	tid|525309|NZ_GG700746.1 Lactobacillus antri DSM 16041 SCAFFOLD15, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Limosilactobacillus;s:Limosilactobacillus antri
0.75%	0.38%	85.10%	.	0	42.48%	16.25%	16.06%	0.56%	56.88	0.00e+00	12.66	5.035	1.658	50.06	131	1	3	13	58	34349	1597	-1	366948K	366429K	16278K	11107	0.463	34349	17420	34349	17420	2830	Lacticaseibacillus paracasei	.	tid|1597|NZ_AFYP01000013.1 Lactobacillus paracasei strain T71499 ctg13_00074, whole genome shotgun sequence	sk:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Lacticaseibacillus;s:Lacticaseibacillus paracasei
