
Query: ERR5421720.fastq.gz	DB: RefSeq	SketchLen: 54581	Seqs: 14206 	Bases: 83952411	gSize: 5722850	GC: 0.580	Quality: 0.1503	AvgCount: 2.857	Depth: 2.664	File: ERR5421720.fastq.gz
WKID	KID	ANI	SSU	SSULen	Complt	Contam	Contam2	uContam	Score	E-Val	Depth	Depth2	Volume	RefHits	Matches	Unique	Unique2	Unique3	noHit	Length	TaxID	ImgID    	gBases	gKmers	gSize	gSeqs	GC	rDiv	qDiv	rSize	qSize	cHits	taxName	file	seqName	taxonomy
25.94%	14.89%	96.36%	.	0	100%	1.45%	1.44%	0.17%	9426	0.00e+00	2.781	2.644	24.04	1.06	8127	8009	8035	8037	5520	54581	70448	-1	13032K	13007K	12494K	22	0.592	31333	54581	31333	54581	789	Ostreococcus tauri	.	tid|70448|NC_014427.2 Ostreococcus tauri WGS project CAID00000000 data, contig chromosome 02, whole genome shotgun sequence	sk:Eukaryota;k:Viridiplantae;p:Chlorophyta;c:Mamiellophyceae;o:Mamiellales;f:Bathycoccaceae;g:Ostreococcus;s:Ostreococcus tauri
4.51%	1.80%	89.29%	79.30%	1473	100%	16.00%	15.59%	14.96%	652.1	0.00e+00	1.790	1.787	2.117	6.14	984	68	817	1008	18855	54581	215743	-1	4381426	4381333	4375664	3	0.609	21832	54581	21832	54581	8734	Roseovarius mucosus	.	tid|215743|NZ_CP020475.1 Roseovarius mucosus strain SMR3 plasmid pSMR3-1, complete sequence	sk:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhodobacterales;f:Roseobacteraceae;g:Roseovarius;s:Roseovarius mucosus
4.29%	1.69%	89.13%	79.30%	1473	100%	16.19%	15.62%	15.09%	601.1	0.00e+00	1.791	1.790	1.984	6.01	922	0	802	1008	19837	54581	2203213	-1	4203542	4203480	4166063	2	0.610	21515	54581	21515	54581	8837	Roseovarius sp. AK1035	.	tid|2203213|NZ_CP030100.1 Roseovarius sp. AK1035 plasmid unnamed, complete sequence	sk:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhodobacterales;f:Roseobacteraceae;g:Roseovarius;s:Roseovarius sp. TM1035
4.06%	1.66%	88.95%	79.30%	1473	100%	16.04%	15.57%	15.07%	585.4	0.00e+00	1.788	1.786	1.952	6.67	908	0	737	1008	17762	54581	2038395	-1	4686682	4684010	4668793	17	0.609	22370	54581	22370	54581	8754	Roseovarius sp. EC-SD190	.	tid|2038395|NZ_LR701464.1 Roseovarius sp. EC-SD190 isolate RV420, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhodobacterales;f:Roseobacteraceae;g:Roseovarius;s:Roseovarius sp. EC-SD190
4.06%	1.66%	88.95%	79.30%	1473	100%	16.04%	15.57%	15.07%	585.4	0.00e+00	1.788	1.786	1.952	6.67	908	0	737	1008	17760	54581	2038394	-1	4686006	4684217	4669993	16	0.609	22374	54581	22374	54581	8754	Roseovarius sp. EC-HK134	.	tid|2038394|NZ_LR701540.1 Roseovarius sp. EC-HK134 isolate RV134, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhodobacterales;f:Roseobacteraceae;g:Roseovarius;s:Roseovarius sp. EC-HK134
0.10%	0.05%	78.35%	.	0	100%	16.30%	1.46%	14.85%	85.81	1.75e-253	3.095	2.489	0.097	2.60	30	2	28	8037	5649	54581	436017	-1	13204K	13204K	12289K	21	0.604	31087	54581	31087	54581	8897	Ostreococcus lucimarinus CCE9901	.	tid|436017|NC_009363.1 Ostreococcus lucimarinus CCE9901 chromosome 9, complete sequence	sk:Eukaryota;k:Viridiplantae;p:Chlorophyta;c:Mamiellophyceae;o:Mamiellales;f:Bathycoccaceae;g:Ostreococcus;s:Ostreococcus sp. 'lucimarinus'
0.26%	0.11%	80.58%	79.59%	1475	100%	17.58%	15.57%	15.07%	49.13	0.00e+00	1.702	1.702	0.123	13.05	59	0	31	1008	17659	54581	314264	-1	4770736	4761485	4692104	6	0.608	22400	54581	22400	54581	9598	Roseovarius sp. 217	.	tid|314264|NZ_AAMV01000034.1 Roseovarius sp. 217 1099463000259, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhodobacterales;f:Roseobacteraceae;g:Roseovarius;s:Roseovarius sp. 217
0.16%	0.07%	79.03%	79.35%	1474	100%	17.52%	15.54%	15.05%	34.01	0.00e+00	1.805	1.722	0.080	22.89	37	0	16	1008	16621	54581	1354722	-1	5113782	5113534	5000516	8	0.607	22912	54581	22912	54581	9561	Roseovarius sp. MCTG156(2b)	.	tid|1354722|NZ_JQLS01000003.1 Roseovarius sp. MCTG156(2b) U739DRAFT_scf7180000000018_quiver.3_C, whole genome shotgun sequence	sk:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhodobacterales;f:Roseobacteraceae;g:Roseovarius;s:Roseovarius sp. MCTG156(2b)
0.30%	0.11%	80.69%	92.05%	1494	100%	17.90%	17.80%	15.14%	28.58	0.00e+00	2.055	1.917	0.139	16.29	59	18	37	69	24579	54581	1806885	-1	3339521	3339490	3312707	1	0.567	19887	54581	19887	54581	9769	Sphingorhabdus sp. M41	.	tid|1806885|NZ_CP014545.1 Sphingorhabdus sp. M41, complete genome	sk:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Sphingomonadales;f:Sphingomonadaceae;g:Sphingorhabdus;s:Sphingorhabdus sp. M41
0.25%	0.10%	80.13%	92.05%	1494	100%	17.80%	17.71%	15.07%	26.17	0.00e+00	2.073	1.891	0.128	15.39	54	17	34	69	20434	54581	2077182	-1	4060755	4060693	4041452	2	0.579	21294	54581	21294	54581	9715	Sphingorhabdus sp. YGSMI21	.	tid|2077182|NZ_CP022548.1 Sphingorhabdus sp. YGSMI21 chromosome, complete genome	sk:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Sphingomonadales;f:Sphingomonadaceae;g:Sphingorhabdus;s:Sphingorhabdus sp. YGSMI21
